Asset_Number,Lag,ACF_Value
600059,19,0.0265
600059,20,-0.0063
600060,0,1.0
600060,1,-0.0184
600060,2,-0.132
600060,3,-0.0949
600060,4,-0.0667
600060,5,-0.0572
600060,6,-0.0583
600060,7,-0.0836
600060,8,-0.0311
600060,9,0.0423
600060,10,0.0148
600060,11,-0.0
600060,12,-0.0382
600060,13,-0.0154
600060,14,-0.0206
600060,15,0.0436
600060,16,0.0229
600060,17,-0.0485
600060,18,-0.0154
600060,19,0.0351
600060,20,-0.0085
600061,0,1.0
600061,1,-0.0277
600061,2,-0.1788
600061,3,-0.1145
600061,4,-0.0552
600061,5,-0.0405
600061,6,-0.0373
600061,7,-0.0225
600061,8,-0.0621
600061,9,-0.013
600061,10,0.0821
600061,11,0.0137
600061,12,-0.0497
600061,13,-0.0505
600061,14,0.028
600061,15,0.0297
600061,16,0.0307
600061,17,-0.0519
600061,18,-0.0102
600061,19,0.0346
600061,20,0.0007
600062,0,1.0
600062,1,-0.0156
600062,2,-0.1244
600062,3,-0.1014
600062,4,-0.0761
600062,5,-0.0597
600062,6,-0.0288
600062,7,-0.0082
600062,8,-0.0451
600062,9,0.047
600062,10,-0.0267
600062,11,-0.0109
600062,12,-0.0151
600062,13,-0.0066
600062,14,0.0112
600062,15,-0.0305
600062,16,-0.0504
600062,17,-0.0177
600062,18,0.0325
600062,19,0.0343
600062,20,-0.0184
600063,0,1.0
600063,1,-0.0191
600063,2,-0.1458
600063,3,-0.128
600063,4,-0.0666
600063,5,-0.0397
600063,6,-0.032
600063,7,0.0093
600063,8,-0.0151
600063,9,-0.0383
600063,10,-0.0297
600063,11,-0.0194
600063,12,-0.0309
600063,13,0.0124
600063,14,0.0176
600063,15,0.0071
600063,16,0.0216
600063,17,-0.0097
600063,18,0.0347
600063,19,-0.0351
600063,20,-0.0189
600064,0,1.0
600064,1,-0.0191
600064,2,-0.1408
600064,3,-0.1048
600064,4,-0.0543
600064,5,-0.0473
600064,6,-0.0479
600064,7,0.0139
600064,8,0.0058
600064,9,-0.0268
600064,10,-0.0387
600064,11,-0.0121
600064,12,-0.0099
600064,13,0.0442
600064,14,0.0218
600064,15,-0.0059
600064,16,-0.027
600064,17,-0.0201
600064,18,-0.0253
600064,19,-0.0313
600064,20,-0.0177
600065,0,1.0
600065,1,-0.0219
600065,2,-0.1563
600065,3,-0.1118
600065,4,-0.041
600065,5,-0.058
600065,6,-0.0609
600065,7,0.0143
600065,8,-0.0344
600065,9,0.0163
600065,10,-0.0048
600065,11,0.0281
600065,12,-0.0382
600065,13,-0.0598
600065,14,0.0173
600065,15,0.0351
600065,16,-0.0163
600065,17,-0.0096
600065,18,0.0542
600065,19,0.0025
600065,20,0.0033
600066,0,1.0
600066,1,-0.0247
600066,2,-0.1661
600066,3,-0.0932
600066,4,-0.0709
600066,5,-0.0159
600066,6,-0.0185
600066,7,-0.0531
600066,8,-0.0174
600066,9,-0.0426
600066,10,-0.0115
600066,11,0.0073
600066,12,0.0455
600066,13,-0.0441
600066,14,-0.012
600066,15,0.0816
600066,16,-0.019
600066,17,0.0146
600066,18,-0.0206
600066,19,-0.0394
600066,20,-0.0375
600067,0,1.0
600067,1,-0.0162
600067,2,-0.1251
600067,3,-0.1009
600067,4,-0.0774
600067,5,-0.0476
600067,6,-0.0662
600067,7,0.0134
600067,8,-0.0057
600067,9,-0.004
600067,10,-0.0287
600067,11,-0.0059
600067,12,-0.0088
600067,13,-0.0158
600067,14,-0.0063
600067,15,-0.0197
600067,16,0.0187
600067,17,0.0147
600067,18,0.0051
600067,19,-0.0148
600067,20,0.0176
600068,0,1.0
600068,1,-0.0266
600068,2,-0.1703
600068,3,-0.1274
600068,4,-0.0689
600068,5,-0.0274
600068,6,-0.0594
600068,7,-0.0062
600068,8,-0.0021
600068,9,-0.0055
600068,10,0.0129
600068,11,-0.0559
600068,12,-0.0373
600068,13,0.0204
600068,14,0.0777
600068,15,-0.0084
600068,16,0.0159
600068,17,-0.0423
600068,18,0.0379
600068,19,-0.0221
600068,20,-0.0147
600069,0,1.0
600069,1,-0.0161
600069,2,-0.1225
600069,3,-0.0761
600069,4,-0.0912
600069,5,-0.0685
600069,6,-0.0795
600069,7,-0.0065
600069,8,0.0412
600069,9,0.0044
600069,10,-0.0211
600069,11,-0.0077
600069,12,-0.0144
600069,13,0.01
600069,14,-0.0014
600069,15,-0.0114
600069,16,-0.0248
600069,17,0.0074
600069,18,0.0187
600069,19,-0.0039
600069,20,-0.0032
600070,0,1.0
600070,1,-0.0158
600070,2,-0.1317
600070,3,-0.1275
600070,4,-0.0615
600070,5,-0.0342
600070,6,-0.0271
600070,7,-0.0504
600070,8,0.0209
600070,9,-0.0051
600070,10,-0.0277
600070,11,-0.018
600070,12,0.0171
600070,13,-0.043
600070,14,-0.0264
600070,15,0.0272
600070,16,-0.004
600070,17,0.0083
600070,18,0.0506
600070,19,0.0074
600070,20,-0.0523
600071,0,1.0
